epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,38909.7,0.52431,0.26755,0.96314,0.98331,0.97825,0.98899,0.81518,0.70555,0.37782,1.05355,0.00010405,0.00010405,0.00010405
183,39362.3,0.51992,0.26464,0.96009,0.98333,0.97831,0.989,0.81523,0.70527,0.37768,1.05343,9.91e-05,9.91e-05,9.91e-05
184,39814.1,0.52018,0.26603,0.9604,0.98332,0.97844,0.98899,0.81532,0.70498,0.37751,1.05331,9.415e-05,9.415e-05,9.415e-05
185,40263.3,0.51932,0.26407,0.9605,0.98331,0.97849,0.989,0.81537,0.70474,0.37728,1.05321,8.92e-05,8.92e-05,8.92e-05
186,40714.1,0.52041,0.2648,0.96108,0.98328,0.97856,0.989,0.81555,0.70452,0.37716,1.0531,8.425e-05,8.425e-05,8.425e-05
187,41166.4,0.51871,0.26432,0.95971,0.9834,0.97856,0.98901,0.81568,0.70427,0.37702,1.05299,7.93e-05,7.93e-05,7.93e-05
188,41618.8,0.51804,0.26423,0.96085,0.98355,0.97856,0.98902,0.81601,0.70402,0.37688,1.05288,7.435e-05,7.435e-05,7.435e-05
189,42077.1,0.51562,0.26314,0.95723,0.98354,0.97856,0.98902,0.81608,0.70384,0.37672,1.05281,6.94e-05,6.94e-05,6.94e-05
190,42539.1,0.51499,0.26306,0.95518,0.98365,0.97856,0.98902,0.81595,0.70378,0.3766,1.05278,6.445e-05,6.445e-05,6.445e-05
191,43006.4,0.51393,0.2618,0.95909,0.98365,0.97856,0.98903,0.81591,0.70365,0.37646,1.05274,5.95e-05,5.95e-05,5.95e-05
192,43465.6,0.51315,0.26263,0.95844,0.98357,0.97856,0.98903,0.81603,0.7035,0.3763,1.05268,5.455e-05,5.455e-05,5.455e-05
193,43934.6,0.51045,0.26078,0.95738,0.98331,0.97844,0.98904,0.81619,0.70337,0.37618,1.05263,4.96e-05,4.96e-05,4.96e-05
194,44395.5,0.51265,0.26149,0.95566,0.98335,0.97844,0.98904,0.81623,0.7032,0.37604,1.05256,4.465e-05,4.465e-05,4.465e-05
195,44859.9,0.51185,0.26078,0.95798,0.98336,0.97844,0.98905,0.81613,0.70307,0.37587,1.05252,3.97e-05,3.97e-05,3.97e-05
196,45329.7,0.51154,0.26112,0.95818,0.98366,0.97844,0.98907,0.81637,0.70284,0.37573,1.05243,3.475e-05,3.475e-05,3.475e-05
197,45803.5,0.51183,0.26143,0.95836,0.98372,0.97844,0.98907,0.81656,0.70265,0.37561,1.05237,2.98e-05,2.98e-05,2.98e-05
198,46283.7,0.51253,0.26,0.95782,0.98378,0.97844,0.98907,0.8166,0.70254,0.37546,1.05235,2.485e-05,2.485e-05,2.485e-05
199,46763.7,0.51048,0.26017,0.95787,0.9838,0.97826,0.98908,0.81688,0.70237,0.37536,1.05224,1.99e-05,1.99e-05,1.99e-05
200,47243.4,0.51003,0.25976,0.95632,0.9838,0.97814,0.98909,0.81691,0.70224,0.37521,1.05224,1.495e-05,1.495e-05,1.495e-05
